Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
22210859,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22211874,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22212695,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22213713,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22214724,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22215546,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22216554,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22217576,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22218587,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22219409,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22220422,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22221439,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22222259,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22223273,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22224285,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22225301,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22226116,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22227131,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22228145,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22228963,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22230155,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22231081,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22231883,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22232984,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22233819,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22234839,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22235860,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22236687,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22237711,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22238538,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22239559,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22240579,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22241414,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22242435,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22243456,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22244479,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22245504,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22246345,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22247382,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22248209,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22250215,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22250232,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22251145,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22252157,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22252975,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22254026,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22255036,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22255857,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22256871,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22257888,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22258708,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22259722,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22260733,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22261764,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22262598,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22263611,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22264624,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22265451,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22266465,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22267480,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22268300,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22270312,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22270324,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22271253,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22272273,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22273116,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22274138,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22275170,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22275995,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22277018,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22278043,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22278869,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22279918,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22280939,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22281775,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22282798,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22283820,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22284648,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22285675,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22286502,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22287522,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22288543,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22290298,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22290680,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22291330,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22292341,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22293359,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22294176,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22295185,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22296200,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22297216,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22298034,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22299049,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22300061,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22301073,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22301899,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22302910,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22303924,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22304742,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22305758,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22306772,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22307783,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22308620,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22310385,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22310731,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22311609,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22312593,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22313424,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22314446,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22315273,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22316293,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22317318,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22318135,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22319160,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22320183,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22321211,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22322032,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22322961,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22323982,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22325002,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22325835,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22326857,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22327888,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22328734,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22330538,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22330915,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22331752,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22332592,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22333627,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22334449,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22335463,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22336477,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22337302,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22338313,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22339328,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22340338,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22341357,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22342172,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22343186,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22344200,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22345018,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22346035,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22347048,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22348060,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22348903,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22350668,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22351038,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22351888,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22352728,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22353756,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22354582,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22355606,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22356627,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
