Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
27168726,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27169588,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27170600,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27171612,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27172432,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27173450,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27174270,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27175644,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27176212,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27177245,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27178265,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27179284,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27180130,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27181171,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27182305,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27182960,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27183982,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27185004,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27185838,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27186859,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27187878,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27188900,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27189730,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27190751,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27191771,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27192598,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27193626,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27194455,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27195814,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27196565,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27197393,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27198423,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27199244,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27200256,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27201280,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27202292,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27203109,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27204123,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27205139,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27206153,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27207164,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27208178,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27209008,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27210026,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27211040,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27211862,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27212871,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27213696,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27214707,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27215902,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27216834,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27217677,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27218624,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27219670,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27220691,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27221525,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27222549,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27223378,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27224399,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27225425,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27226254,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27227277,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27228299,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27229326,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27230151,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27231173,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27231998,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27233021,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27234047,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27234876,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27236049,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27237028,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27237856,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27238868,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27239688,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27240702,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27241717,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27242538,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27243553,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27244566,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27245584,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27246594,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27247415,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27248427,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27249444,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27250265,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27251280,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27252294,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27253110,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27254123,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27256123,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27256133,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27257068,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27258042,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27258878,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27259899,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27260919,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27261754,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27262777,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27263798,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27264656,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27265684,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27266707,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27267728,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27268556,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27269587,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27270415,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27271461,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27272307,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27273334,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27274157,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27276186,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27276198,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27277115,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27278130,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27279144,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27280001,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27280823,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27281840,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27282854,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27283867,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27284689,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27285739,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27286751,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27287572,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27288587,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27289605,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27290429,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27291442,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27292455,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27293281,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27294296,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27296297,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27296309,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27297244,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27298088,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27299101,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27300128,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27301153,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27302173,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27302999,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27304022,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27304851,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27305881,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27306901,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27307921,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27308754,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27309784,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27310808,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27311636,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27312659,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27313689,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27314517,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27316523,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27316536,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27317479,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27318499,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27319512,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27320331,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27321341,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27322516,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27323339,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27324157,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27325178,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27326192,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27327007,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27328022,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27329633,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27330091,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27330907,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27331922,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27332934,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27333757,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27334770,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27336551,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27336943,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27337588,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27338626,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27339648,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27340670,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27341503,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27342523,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27343353,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27344375,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27345400,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27346421,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27347248,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27348268,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27349304,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27350127,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27351148,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27351973,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27352996,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27354024,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27354852,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27356620,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27356952,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27357984,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27358824,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27359708,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27360722,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27361740,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27362559,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27363573,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27364584,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27365602,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27366430,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27367466,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27368479,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27369304,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27370315,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27371131,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27372147,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27373166,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27374219,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27375236,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27376780,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27377173,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27378020,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27379042,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27379871,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27380892,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27381724,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27382763,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27383786,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27384817,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27385869,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27386890,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27387717,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27388739,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27389767,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27390596,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27391618,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27392448,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27393478,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27394304,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27395328,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27396914,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27397462,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27398309,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27399482,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27400304,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27401127,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27402140,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27403154,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27404166,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27405186,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27406004,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27407016,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27408029,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27408865,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27409883,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27410702,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27411719,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27412731,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27413558,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27414571,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27415583,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27416936,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27417527,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27418375,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27419396,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27420418,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27421444,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27422464,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27423292,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27424315,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27425338,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27426160,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27427180,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27428201,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27429027,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27430054,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27431075,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27431903,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27432926,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27433953,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27434782,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27435804,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27436996,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27437739,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27438768,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27439606,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27440626,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27441646,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27442686,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27443871,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27444644,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27445660,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27446481,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27447496,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27448509,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27449334,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27450345,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27451355,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27452363,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27453378,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27454195,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27455209,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27457222,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27457237,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27458188,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27459014,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27460038,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27461058,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27461892,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27462910,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27463932,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27464760,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27465787,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27466616,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27467638,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27468661,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27469520,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27470539,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27471558,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27472580,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27473414,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27474437,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27475454,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27477320,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27477333,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27478275,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27479090,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27480124,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27480959,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27481978,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27482989,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27484002,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27484829,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27485757,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27486770,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
27487800,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27488832,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27489721,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27490747,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27491792,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27492885,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27493547,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27494560,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27495573,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27497402,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27497415,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27498342,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27499365,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27500388,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27501213,00000161,false,Rx,0,7,00,00,D7,64,00,00,00,00,
27502240,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27503061,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27504083,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27505106,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27505931,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27506952,00000228,false,Rx,0,8,80,00,80,80,00,00,00,00,
27507975,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27509008,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27509839,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27510861,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27511884,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27512710,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27513734,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27514753,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27515580,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27517624,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27517637,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27518523,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27519788,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27520517,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
27521534,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27522356,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27523367,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27524180,000000F6,false,Rx,0,8,8E,A0,00,00,00,08,63,20,
27525198,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
27526210,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
27527220,00000168,false,Rx,0,8,00,00,00,00,02,00,00,00,
27528236,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
27529049,000000B6,false,Rx,0,8,D9,00,65,8F,00,FF,00,A0,
27530066,00000036,false,Rx,0,8,00,00,06,2F,01,80,00,00,
